time,gFx,gFy,gFz,gFTotal
2019-07-15 10:43:38.5860,-0.074,-0.145,-0.895,0.91
2019-07-15 10:43:38.5880,-0.061,-0.062,-0.743,0.748
2019-07-15 10:43:38.5900,-0.061,-0.062,-0.743,0.748
2019-07-15 10:43:38.6120,-0.038,0.021,-0.878,0.879
2019-07-15 10:43:38.6140,-0.038,0.021,-0.878,0.879
2019-07-15 10:43:38.6210,-0.061,-0.118,-1.069,1.077
2019-07-15 10:43:38.6280,-0.111,-0.294,-1.094,1.138
2019-07-15 10:43:38.6320,-0.111,-0.294,-1.094,1.138
2019-07-15 10:43:38.6400,-0.081,-0.414,-0.987,1.073
2019-07-15 10:43:38.6540,-0.055,-0.427,-0.973,1.064
2019-07-15 10:43:38.6630,0.13,-0.3,-1.582,1.615
2019-07-15 10:43:38.6720,-0.004,-0.231,-1.226,1.248
2019-07-15 10:43:38.6950,-0.104,-0.396,-0.719,0.827
2019-07-15 10:43:38.7030,-0.0,-0.482,-0.784,0.92
2019-07-15 10:43:38.7080,0.051,-0.388,-0.74,0.837
2019-07-15 10:43:38.7140,0.051,-0.388,-0.74,0.837
2019-07-15 10:43:38.7240,0.082,-0.24,-0.74,0.782
2019-07-15 10:43:38.7320,0.038,-0.173,-0.719,0.74
2019-07-15 10:43:38.7430,-0.001,-0.151,-0.689,0.705
2019-07-15 10:43:38.7510,0.094,-0.174,-0.789,0.813
2019-07-15 10:43:38.7610,0.241,-0.246,-0.951,1.011
2019-07-15 10:43:38.7710,0.273,-0.295,-0.939,1.021
2019-07-15 10:43:38.7800,0.218,-0.318,-0.893,0.973
2019-07-15 10:43:38.7900,0.205,-0.364,-0.969,1.055
2019-07-15 10:43:38.8020,0.19,-0.406,-0.983,1.08
2019-07-15 10:43:38.8240,0.245,-0.358,-0.838,0.944
2019-07-15 10:43:38.8260,0.626,-0.643,-0.902,1.272
2019-07-15 10:43:38.8350,0.626,-0.643,-0.902,1.272
2019-07-15 10:43:38.8420,0.163,-0.326,-1.098,1.157
2019-07-15 10:43:38.8510,0.045,-0.218,-0.949,0.975
2019-07-15 10:43:38.8600,0.091,-0.269,-1.012,1.051
2019-07-15 10:43:38.8700,0.143,-0.321,-0.992,1.052
