time,gFx,gFy,gFz,gFTotal
2019-07-15 11:25:02.4320,-0.274,-0.172,-0.887,0.944
2019-07-15 11:25:02.4330,-0.274,-0.172,-0.887,0.944
2019-07-15 11:25:02.4340,-0.274,-0.172,-0.887,0.944
2019-07-15 11:25:02.4390,-0.212,-0.154,-0.843,0.883
2019-07-15 11:25:02.4620,-0.036,-0.09,-0.849,0.855
2019-07-15 11:25:02.4630,-0.036,-0.09,-0.849,0.855
2019-07-15 11:25:02.4700,-0.046,-0.158,-0.84,0.856
2019-07-15 11:25:02.4790,-0.054,-0.2,-0.881,0.905
2019-07-15 11:25:02.4890,-0.336,-0.295,-0.942,1.043
2019-07-15 11:25:02.4940,-0.336,-0.324,-0.988,1.093
2019-07-15 11:25:02.5100,-0.204,-0.343,-0.958,1.038
2019-07-15 11:25:02.5320,-0.221,-0.365,-0.823,0.927
2019-07-15 11:25:02.5390,-0.247,-0.408,-0.699,0.846
2019-07-15 11:25:02.5430,-0.247,-0.408,-0.699,0.846
2019-07-15 11:25:02.5480,-0.163,-0.429,-0.656,0.801
2019-07-15 11:25:02.5540,0.085,-0.383,-0.716,0.816
2019-07-15 11:25:02.5640,0.538,-0.279,-1.055,1.217
2019-07-15 11:25:02.5780,0.321,-0.464,-0.618,0.837
2019-07-15 11:25:02.5890,0.002,-0.47,-0.708,0.85
2019-07-15 11:25:02.5940,-0.125,-0.404,-1.052,1.134
2019-07-15 11:25:02.6090,-0.171,-0.343,-1.189,1.249
2019-07-15 11:25:02.6310,-0.218,-0.221,-1.083,1.127
2019-07-15 11:25:02.6380,-0.27,-0.056,-0.955,0.994
2019-07-15 11:25:02.6420,-0.27,-0.056,-0.955,0.994
2019-07-15 11:25:02.6470,-0.107,-0.018,-0.962,0.968
2019-07-15 11:25:02.6530,-0.204,-0.121,-0.913,0.943
2019-07-15 11:25:02.6630,-0.184,-0.211,-0.936,0.977
2019-07-15 11:25:02.6770,-0.16,-0.256,-0.898,0.947
2019-07-15 11:25:02.6880,-0.085,-0.262,-0.818,0.863
2019-07-15 11:25:02.6930,-0.004,-0.249,-0.773,0.812
2019-07-15 11:25:02.7070,0.019,-0.258,-0.725,0.77
2019-07-15 11:25:02.7300,0.127,-0.294,-0.94,0.993
2019-07-15 11:25:02.7370,0.151,-0.205,-1.134,1.162
2019-07-15 11:25:02.7410,0.151,-0.205,-1.134,1.162
2019-07-15 11:25:02.7470,0.269,-0.166,-1.367,1.403
2019-07-15 11:25:02.7530,0.256,-0.156,-1.272,1.307
2019-07-15 11:25:02.7620,0.199,-0.179,-1.046,1.08
2019-07-15 11:25:02.7770,0.118,-0.199,-0.978,1.005
2019-07-15 11:25:02.7870,0.116,-0.191,-0.97,0.995
2019-07-15 11:25:02.7920,0.118,-0.131,-1.073,1.087
2019-07-15 11:25:02.8070,0.112,-0.219,-1.1,1.127
2019-07-15 11:25:02.8300,0.078,-0.247,-0.97,1.004
2019-07-15 11:25:02.8360,0.039,-0.246,-0.925,0.958
2019-07-15 11:25:02.8410,0.005,-0.278,-0.966,1.005
2019-07-15 11:25:02.8460,0.005,-0.278,-0.966,1.005
2019-07-15 11:25:02.8520,-0.015,-0.297,-1.013,1.056
2019-07-15 11:25:02.8610,-0.012,-0.286,-1.063,1.101
2019-07-15 11:25:02.8750,0.03,-0.257,-1.092,1.122
2019-07-15 11:25:02.8850,0.022,-0.216,-1.033,1.056
2019-07-15 11:25:02.8910,0.073,-0.434,-0.936,1.034
2019-07-15 11:25:02.9060,-0.008,-0.335,-0.992,1.047
2019-07-15 11:25:02.9280,0.056,-0.326,-0.994,1.048
2019-07-15 11:25:02.9340,0.077,-0.236,-1.107,1.134
2019-07-15 11:25:02.9390,0.077,-0.236,-1.107,1.134
2019-07-15 11:25:02.9440,0.068,-0.271,-1.081,1.117
2019-07-15 11:25:02.9500,0.035,-0.312,-0.981,1.03
2019-07-15 11:25:02.9600,0.02,-0.312,-0.96,1.01
2019-07-15 11:25:02.9750,0.012,-0.315,-0.938,0.99
2019-07-15 11:25:02.9840,0.029,-0.387,-0.935,1.012
2019-07-15 11:25:02.9900,0.055,-0.308,-0.889,0.942
2019-07-15 11:25:03.0050,0.075,-0.309,-0.944,0.996
2019-07-15 11:25:03.0280,0.028,-0.347,-0.98,1.04
2019-07-15 11:25:03.0330,0.024,-0.341,-1.0,1.057
2019-07-15 11:25:03.0370,0.024,-0.341,-1.0,1.057
2019-07-15 11:25:03.0430,0.047,-0.365,-1.027,1.091
2019-07-15 11:25:03.0490,0.008,-0.355,-1.023,1.083
2019-07-15 11:25:03.0600,0.093,-0.392,-0.977,1.057
2019-07-15 11:25:03.0740,0.14,-0.356,-1.036,1.104
2019-07-15 11:25:03.0830,0.148,-0.344,-1.036,1.102
2019-07-15 11:25:03.0890,0.131,-0.248,-1.016,1.054
2019-07-15 11:25:03.1040,0.077,-0.349,-1.018,1.079
2019-07-15 11:25:03.1270,0.091,-0.426,-1.013,1.103
2019-07-15 11:25:03.1330,0.047,-0.456,-1.022,1.12
2019-07-15 11:25:03.1360,0.047,-0.456,-1.022,1.12
2019-07-15 11:25:03.1430,0.026,-0.463,-0.991,1.094
2019-07-15 11:25:03.1490,0.016,-0.453,-1.005,1.102
2019-07-15 11:25:03.1590,-0.051,-0.468,-1.09,1.187
2019-07-15 11:25:03.1730,-0.067,-0.481,-1.055,1.161
2019-07-15 11:25:03.1820,-0.053,-0.501,-0.956,1.081
2019-07-15 11:25:03.1880,0.003,-0.575,-0.913,1.079
2019-07-15 11:25:03.2030,-0.016,-0.579,-0.928,1.094
2019-07-15 11:25:03.2300,-0.106,-0.51,-0.92,1.057
2019-07-15 11:25:03.2410,-0.106,-0.51,-0.92,1.057
2019-07-15 11:25:03.2560,-0.063,-0.391,-0.781,0.876
2019-07-15 11:25:03.2570,-0.063,-0.391,-0.781,0.876
2019-07-15 11:25:03.2580,-0.063,-0.391,-0.781,0.876
2019-07-15 11:25:03.2620,-0.078,-0.364,-0.704,0.796
2019-07-15 11:25:03.2750,-0.271,-0.114,-0.452,0.539
2019-07-15 11:25:03.2830,-0.19,-0.146,-0.423,0.486
2019-07-15 11:25:03.2880,0.063,-0.427,-0.614,0.751
2019-07-15 11:25:03.3020,-0.017,-0.499,-0.744,0.896
2019-07-15 11:25:03.3260,-0.263,-0.395,-0.917,1.033
2019-07-15 11:25:03.3320,-0.174,-0.487,-0.841,0.987
2019-07-15 11:25:03.3350,-0.174,-0.487,-0.841,0.987
2019-07-15 11:25:03.3420,-0.034,-0.479,-0.735,0.878
2019-07-15 11:25:03.3470,0.07,-0.496,-0.791,0.936
2019-07-15 11:25:03.3570,0.168,-0.459,-0.807,0.943
2019-07-15 11:25:03.3730,0.136,-0.382,-0.779,0.878
2019-07-15 11:25:03.3810,0.012,-0.295,-0.826,0.877
2019-07-15 11:25:03.3870,-0.253,-0.242,-0.989,1.049
2019-07-15 11:25:03.4000,-0.389,-0.386,-1.157,1.28
2019-07-15 11:25:03.4420,-0.275,-0.674,-1.153,1.364
2019-07-15 11:25:03.5970,-0.133,-1.238,-0.034,1.246
2019-07-15 11:25:03.5990,-0.133,-1.238,-0.034,1.246
2019-07-15 11:25:03.6000,-0.133,-1.238,-0.034,1.246
2019-07-15 11:25:03.6010,-0.133,-1.238,-0.034,1.246
2019-07-15 11:25:03.6020,-0.133,-1.238,-0.034,1.246
2019-07-15 11:25:03.6030,-0.133,-1.238,-0.034,1.246
2019-07-15 11:25:03.6040,-0.133,-1.238,-0.034,1.246
2019-07-15 11:25:03.6050,-0.099,-1.238,0.069,1.244
2019-07-15 11:25:03.6060,-0.099,-1.238,0.069,1.244
2019-07-15 11:25:03.6070,-0.099,-1.238,0.069,1.244
2019-07-15 11:25:03.6080,-0.099,-1.238,0.069,1.244
2019-07-15 11:25:03.6090,-0.099,-1.238,0.069,1.244
2019-07-15 11:25:03.6100,-0.099,-1.238,0.069,1.244
2019-07-15 11:25:03.6100,-0.099,-1.238,0.069,1.244
