time,gFx,gFy,gFz,gFTotal
2019-07-15 12:2:04.7090,0.341,-0.256,-0.766,0.877
2019-07-15 12:2:04.7150,0.341,-0.256,-0.766,0.877
2019-07-15 12:2:04.7210,0.204,-0.345,-0.786,0.882
2019-07-15 12:2:04.7260,0.204,-0.345,-0.786,0.882
2019-07-15 12:2:04.7360,0.15,-0.451,-0.787,0.919
2019-07-15 12:2:04.7590,-0.113,-0.327,-1.14,1.191
2019-07-15 12:2:04.7610,-0.113,-0.327,-1.14,1.191
2019-07-15 12:2:04.7650,-0.113,-0.327,-1.14,1.191
2019-07-15 12:2:04.7720,-0.164,-0.253,-1.015,1.059
2019-07-15 12:2:04.7800,-0.123,-0.25,-0.85,0.894
2019-07-15 12:2:04.7940,-0.065,-0.295,-0.711,0.773
2019-07-15 12:2:04.8040,-0.025,-0.35,-0.538,0.642
2019-07-15 12:2:04.8130,0.073,-0.371,-0.412,0.559
2019-07-15 12:2:04.8230,0.187,-0.236,-0.334,0.45
2019-07-15 12:2:04.8450,0.483,-0.416,-0.842,1.056
2019-07-15 12:2:04.8520,-0.071,-0.431,-0.307,0.534
2019-07-15 12:2:04.8570,0.061,-0.525,-0.626,0.819
2019-07-15 12:2:04.8650,0.061,-0.525,-0.626,0.819
2019-07-15 12:2:04.8730,0.107,-0.514,-0.741,0.908
2019-07-15 12:2:04.8810,0.113,-0.42,-0.771,0.885
2019-07-15 12:2:04.8910,0.05,-0.305,-0.76,0.82
2019-07-15 12:2:04.9040,-0.021,-0.247,-0.759,0.798
2019-07-15 12:2:04.9120,-0.053,-0.24,-0.76,0.799
2019-07-15 12:2:04.9220,-0.074,-0.257,-0.72,0.768
2019-07-15 12:2:04.9440,0.088,-0.164,-0.874,0.894
2019-07-15 12:2:04.9460,0.145,-0.178,-1.076,1.1
2019-07-15 12:2:04.9560,0.165,-0.274,-1.184,1.226
2019-07-15 12:2:04.9640,0.165,-0.274,-1.184,1.226
2019-07-15 12:2:04.9710,0.089,-0.255,-0.926,0.965
2019-07-15 12:2:04.9800,0.438,-0.547,-0.609,0.928
2019-07-15 12:2:04.9890,0.557,-0.635,-0.678,1.083
2019-07-15 12:2:05.0010,0.198,-0.096,-1.046,1.069
2019-07-15 12:2:05.0100,0.34,-0.217,-1.173,1.24
2019-07-15 12:2:05.0320,0.076,-0.376,-1.04,1.108
2019-07-15 12:2:05.0380,0.085,-0.29,-1.063,1.105
2019-07-15 12:2:05.0430,0.085,-0.29,-1.063,1.105
2019-07-15 12:2:05.0510,0.136,-0.274,-1.094,1.136
2019-07-15 12:2:05.0600,0.155,-0.316,-1.154,1.206
2019-07-15 12:2:05.0700,0.124,-0.34,-1.231,1.283
2019-07-15 12:2:05.0780,0.091,-0.329,-1.217,1.264
2019-07-15 12:2:05.0870,0.038,-0.416,-1.221,1.29
2019-07-15 12:2:05.1000,0.011,-0.334,-1.119,1.168
2019-07-15 12:2:05.1090,0.08,-0.321,-1.074,1.124
2019-07-15 12:2:05.1320,0.204,-0.224,-1.009,1.054
2019-07-15 12:2:05.1380,0.163,-0.484,-1.045,1.163
2019-07-15 12:2:05.1420,0.163,-0.484,-1.045,1.163
2019-07-15 12:2:05.1480,0.142,-0.431,-1.035,1.13
2019-07-15 12:2:05.1580,0.065,-0.335,-1.038,1.093
2019-07-15 12:2:05.1720,0.058,-0.366,-1.008,1.074
2019-07-15 12:2:05.1810,0.366,-0.515,-1.004,1.186
2019-07-15 12:2:05.1850,0.16,-0.34,-1.138,1.198
2019-07-15 12:2:05.1990,0.145,-0.364,-1.173,1.237
2019-07-15 12:2:05.2080,0.101,-0.376,-1.126,1.191
2019-07-15 12:2:05.2310,0.226,-0.444,-1.091,1.199
2019-07-15 12:2:05.2370,0.205,-0.4,-1.153,1.238
2019-07-15 12:2:05.2410,0.205,-0.4,-1.153,1.238
2019-07-15 12:2:05.2470,0.111,-0.454,-1.132,1.225
2019-07-15 12:2:05.2600,0.065,-0.457,-1.122,1.213
2019-07-15 12:2:05.2680,0.063,-0.443,-1.131,1.216
2019-07-15 12:2:05.2780,0.066,-0.429,-1.031,1.119
2019-07-15 12:2:05.2830,0.035,-0.43,-0.994,1.084
2019-07-15 12:2:05.2980,0.01,-0.421,-0.926,1.017
2019-07-15 12:2:05.3070,-0.013,-0.416,-0.9,0.992
2019-07-15 12:2:05.3310,-0.044,-0.411,-0.882,0.974
2019-07-15 12:2:05.3380,-0.037,-0.407,-0.864,0.956
2019-07-15 12:2:05.3430,-0.014,-0.402,-0.837,0.929
