time,gFx,gFy,gFz,gFTotal
2019-07-15 18:0:47.4000,0.11,-0.163,-0.973,0.993
2019-07-15 18:0:47.4050,0.11,-0.163,-0.973,0.993
2019-07-15 18:0:47.4070,0.116,-0.173,-0.92,0.943
2019-07-15 18:0:47.4160,0.116,-0.173,-0.92,0.943
2019-07-15 18:0:47.4220,0.173,-0.178,-0.944,0.976
2019-07-15 18:0:47.4430,0.123,-0.24,-1.058,1.092
2019-07-15 18:0:47.4440,0.123,-0.24,-1.058,1.092
2019-07-15 18:0:47.4470,0.084,-0.301,-1.099,1.143
2019-07-15 18:0:47.4610,0.041,-0.268,-1.133,1.165
2019-07-15 18:0:47.4700,-0.014,-0.21,-1.132,1.151
2019-07-15 18:0:47.4790,0.014,-0.304,-1.091,1.133
2019-07-15 18:0:47.4920,-0.036,-0.375,-0.984,1.054
2019-07-15 18:0:47.4970,-0.077,-0.339,-0.849,0.917
2019-07-15 18:0:47.5110,-0.092,-0.222,-0.725,0.764
2019-07-15 18:0:47.5340,-0.023,-0.083,-0.576,0.582
2019-07-15 18:0:47.5360,0.094,-0.082,-0.521,0.536
2019-07-15 18:0:47.5410,0.094,-0.082,-0.521,0.536
2019-07-15 18:0:47.5460,0.334,-0.043,-0.581,0.672
2019-07-15 18:0:47.5610,0.929,0.146,-0.832,1.256
2019-07-15 18:0:47.5690,0.814,-0.21,-1.093,1.379
2019-07-15 18:0:47.5780,0.168,-0.429,-1.058,1.154
2019-07-15 18:0:47.5910,-0.005,-0.25,-1.02,1.05
2019-07-15 18:0:47.5960,0.035,-0.218,-0.995,1.019
2019-07-15 18:0:47.6100,0.018,-0.314,-0.974,1.024
2019-07-15 18:0:47.6320,0.016,-0.14,-0.947,0.957
2019-07-15 18:0:47.6340,0.016,-0.14,-0.947,0.957
2019-07-15 18:0:47.6390,-0.123,0.024,-1.038,1.046
2019-07-15 18:0:47.6460,-0.041,-0.057,-1.037,1.039
2019-07-15 18:0:47.6600,-0.018,-0.166,-0.969,0.983
2019-07-15 18:0:47.6730,0.015,-0.303,-0.936,0.984
2019-07-15 18:0:47.6770,-0.029,-0.53,-1.048,1.175
2019-07-15 18:0:47.6900,-0.107,-0.706,-1.318,1.499
2019-07-15 18:0:47.6950,-0.187,-0.514,-0.969,1.113
2019-07-15 18:0:47.7090,-0.235,-0.376,-0.865,0.972
2019-07-15 18:0:47.7310,-0.131,-0.414,-0.96,1.054
2019-07-15 18:0:47.7320,-0.131,-0.414,-0.96,1.054
2019-07-15 18:0:47.7370,-0.14,-0.433,-0.91,1.017
2019-07-15 18:0:47.7450,-0.143,-0.408,-0.91,1.007
2019-07-15 18:0:47.7600,-0.082,-0.362,-0.93,1.001
2019-07-15 18:0:47.7670,0.104,-0.367,-1.02,1.089
2019-07-15 18:0:47.7760,0.029,-0.314,-1.101,1.145
2019-07-15 18:0:47.7890,-0.051,-0.283,-1.081,1.119
2019-07-15 18:0:47.7940,-0.038,-0.313,-1.055,1.101
2019-07-15 18:0:47.8080,-0.037,-0.322,-1.036,1.086
2019-07-15 18:0:47.8300,-0.041,-0.372,-1.07,1.134
2019-07-15 18:0:47.8310,-0.041,-0.372,-1.07,1.134
2019-07-15 18:0:47.8340,-0.091,-0.362,-1.096,1.158
2019-07-15 18:0:47.8440,-0.126,-0.359,-1.039,1.106
2019-07-15 18:0:47.8590,-0.129,-0.326,-1.025,1.083
2019-07-15 18:0:47.8660,-0.126,-0.312,-1.032,1.085
2019-07-15 18:0:47.8750,-0.131,-0.302,-1.008,1.06
2019-07-15 18:0:47.8880,-0.122,-0.306,-1.018,1.07
2019-07-15 18:0:47.8940,-0.153,-0.326,-1.029,1.09
2019-07-15 18:0:47.9080,-0.18,-0.334,-0.988,1.058
2019-07-15 18:0:47.9260,-0.195,-0.385,-0.968,1.06
2019-07-15 18:0:47.9310,-0.195,-0.385,-0.968,1.06
2019-07-15 18:0:47.9340,-0.188,-0.319,-0.93,1.001
2019-07-15 18:0:47.9430,-0.203,-0.303,-0.953,1.02
2019-07-15 18:0:47.9580,-0.194,-0.343,-0.911,0.993
2019-07-15 18:0:47.9660,-0.155,-0.356,-0.941,1.018
2019-07-15 18:0:47.9740,-0.107,-0.312,-0.956,1.011
2019-07-15 18:0:47.9870,-0.068,-0.338,-0.95,1.011
2019-07-15 18:0:47.9930,-0.048,-0.362,-0.959,1.026
2019-07-15 18:0:48.0070,-0.043,-0.369,-0.942,1.013
2019-07-15 18:0:48.0260,-0.0,-0.455,-0.887,0.997
2019-07-15 18:0:48.0300,-0.0,-0.455,-0.887,0.997
2019-07-15 18:0:48.0340,-0.005,-0.364,-0.819,0.896
2019-07-15 18:0:48.0430,-0.016,-0.419,-0.855,0.952
2019-07-15 18:0:48.0580,-0.034,-0.466,-0.846,0.966
2019-07-15 18:0:48.0650,0.028,-0.513,-0.822,0.969
2019-07-15 18:0:48.0750,-0.059,-0.29,-0.854,0.904
2019-07-15 18:0:48.0860,-0.059,-0.346,-0.913,0.978
2019-07-15 18:0:48.0920,-0.045,-0.44,-0.898,1.001
2019-07-15 18:0:48.1070,-0.018,-0.407,-0.917,1.003
2019-07-15 18:0:48.1250,-0.022,-0.444,-0.906,1.009
2019-07-15 18:0:48.1300,-0.031,-0.438,-0.877,0.981
2019-07-15 18:0:48.1340,-0.031,-0.438,-0.877,0.981
