time,gFx,gFy,gFz,gFTotal
2019-07-15 11:2:57.2540,-0.079,0.127,-0.874,0.887
2019-07-15 11:2:57.2550,-0.079,0.127,-0.874,0.887
2019-07-15 11:2:57.2560,-0.079,0.127,-0.874,0.887
2019-07-15 11:2:57.2570,-0.079,0.127,-0.874,0.887
2019-07-15 11:2:57.2630,-0.118,0.022,-0.955,0.963
2019-07-15 11:2:57.2680,-0.118,0.022,-0.955,0.963
2019-07-15 11:2:57.2760,-0.14,-0.12,-0.99,1.007
2019-07-15 11:2:57.2900,-0.128,-0.269,-0.977,1.021
2019-07-15 11:2:57.2980,-0.128,-0.269,-0.977,1.021
2019-07-15 11:2:57.3050,-0.164,-0.29,-1.029,1.082
2019-07-15 11:2:57.3310,0.046,-0.263,-1.042,1.076
2019-07-15 11:2:57.3320,0.046,-0.263,-1.042,1.076
2019-07-15 11:2:57.3360,0.046,-0.263,-1.042,1.076
2019-07-15 11:2:57.3450,-0.037,-0.262,-0.823,0.864
2019-07-15 11:2:57.3550,-0.189,-0.298,-0.777,0.853
2019-07-15 11:2:57.3650,-0.116,-0.122,-0.745,0.764
2019-07-15 11:2:57.3700,-0.068,-0.061,-0.8,0.805
2019-07-15 11:2:57.3810,-0.083,-0.115,-0.838,0.85
2019-07-15 11:2:57.3940,-0.092,-0.183,-0.85,0.874
2019-07-15 11:2:57.4030,-0.046,-0.227,-0.912,0.941
2019-07-15 11:2:57.4270,-0.151,-0.251,-0.819,0.87
2019-07-15 11:2:57.4290,-0.151,-0.251,-0.819,0.87
2019-07-15 11:2:57.4340,-0.163,-0.227,-0.761,0.811
2019-07-15 11:2:57.4440,-0.147,-0.206,-0.727,0.77
2019-07-15 11:2:57.4550,-0.137,-0.208,-0.77,0.809
2019-07-15 11:2:57.4640,-0.107,-0.257,-0.875,0.918
2019-07-15 11:2:57.4700,-0.109,-0.33,-0.928,0.991
2019-07-15 11:2:57.4800,-0.027,-0.47,-0.835,0.959
2019-07-15 11:2:57.4930,0.197,-0.688,-0.549,0.902
2019-07-15 11:2:57.5020,-0.009,-0.248,-0.8,0.838
2019-07-15 11:2:57.5250,0.203,-0.182,-1.121,1.154
2019-07-15 11:2:57.5260,0.203,-0.182,-1.121,1.154
2019-07-15 11:2:57.5300,0.178,-0.321,-1.139,1.197
2019-07-15 11:2:57.5430,0.109,-0.275,-1.121,1.159
2019-07-15 11:2:57.5540,0.107,-0.26,-1.073,1.109
2019-07-15 11:2:57.5630,0.125,-0.284,-1.026,1.072
2019-07-15 11:2:57.5680,0.114,-0.248,-1.094,1.128
2019-07-15 11:2:57.5780,0.036,-0.242,-1.104,1.131
2019-07-15 11:2:57.5920,-0.017,-0.264,-1.003,1.037
2019-07-15 11:2:57.6010,0.021,-0.364,-1.006,1.07
2019-07-15 11:2:57.6240,0.073,-0.148,-1.042,1.055
2019-07-15 11:2:57.6250,0.073,-0.148,-1.042,1.055
2019-07-15 11:2:57.6290,0.071,-0.219,-0.959,0.986
2019-07-15 11:2:57.6420,0.092,-0.331,-0.874,0.939
2019-07-15 11:2:57.6530,0.083,-0.231,-0.858,0.892
2019-07-15 11:2:57.6610,0.032,-0.274,-0.799,0.845
2019-07-15 11:2:57.6680,0.128,-0.314,-0.856,0.921
2019-07-15 11:2:57.6770,0.186,-0.268,-0.978,1.031
2019-07-15 11:2:57.6920,0.195,-0.266,-1.018,1.07
2019-07-15 11:2:57.7010,0.194,-0.222,-1.001,1.044
2019-07-15 11:2:57.7250,0.25,-0.175,-0.967,1.014
2019-07-15 11:2:57.7260,0.202,-0.188,-0.995,1.033
2019-07-15 11:2:57.7300,0.202,-0.188,-0.995,1.033
2019-07-15 11:2:57.7410,0.169,-0.213,-0.978,1.015
2019-07-15 11:2:57.7520,0.138,-0.225,-0.996,1.03
2019-07-15 11:2:57.7610,0.114,-0.233,-1.025,1.057
2019-07-15 11:2:57.7670,0.13,-0.219,-1.032,1.063
2019-07-15 11:2:57.7770,0.12,-0.205,-1.016,1.043
2019-07-15 11:2:57.7910,0.096,-0.203,-0.96,0.986
2019-07-15 11:2:57.8030,0.096,-0.201,-0.902,0.929
2019-07-15 11:2:57.8330,0.068,-0.239,-0.865,0.9
2019-07-15 11:2:57.8520,-0.016,-0.273,-0.893,0.934
2019-07-15 11:2:57.8540,-0.016,-0.273,-0.893,0.934
2019-07-15 11:2:57.8550,-0.016,-0.273,-0.893,0.934
2019-07-15 11:2:57.8560,-0.016,-0.273,-0.893,0.934
2019-07-15 11:2:57.8670,-0.053,-0.294,-0.793,0.847
2019-07-15 11:2:57.8680,-0.053,-0.294,-0.793,0.847
2019-07-15 11:2:57.8780,-0.08,-0.197,-0.68,0.712
2019-07-15 11:2:57.8900,-0.042,-0.258,-1.005,1.038
2019-07-15 11:2:57.9180,-0.018,-0.289,-0.819,0.869
2019-07-15 11:2:57.9240,-0.018,-0.289,-0.819,0.869
2019-07-15 11:2:57.9250,-0.018,-0.289,-0.819,0.869
2019-07-15 11:2:57.9390,-0.148,-0.333,-0.77,0.852
2019-07-15 11:2:57.9410,-0.148,-0.333,-0.77,0.852
2019-07-15 11:2:57.9510,-0.103,-0.334,-0.781,0.856
2019-07-15 11:2:57.9590,-0.19,-0.364,-0.923,1.01
2019-07-15 11:2:57.9660,-0.173,-0.425,-1.082,1.175
2019-07-15 11:2:57.9760,-0.163,-0.514,-1.19,1.306
2019-07-15 11:2:57.9900,-0.166,-0.549,-1.077,1.22
2019-07-15 11:2:58.0130,-0.169,-0.49,-0.963,1.094
2019-07-15 11:2:58.2380,-0.04,-0.541,-0.861,1.018
2019-07-15 11:2:58.2390,-0.04,-0.541,-0.861,1.018
2019-07-15 11:2:58.2410,-0.04,-0.541,-0.861,1.018
2019-07-15 11:2:58.2430,-0.004,-0.521,-0.811,0.964
2019-07-15 11:2:58.2450,-0.004,-0.521,-0.811,0.964
2019-07-15 11:2:58.2460,-0.004,-0.521,-0.811,0.964
2019-07-15 11:2:58.2470,-0.004,-0.521,-0.811,0.964
2019-07-15 11:2:58.2490,-0.004,-0.521,-0.811,0.964
2019-07-15 11:2:58.2500,-0.004,-0.521,-0.811,0.964
2019-07-15 11:2:58.2520,-0.083,-0.524,-0.873,1.022
2019-07-15 11:2:58.2530,-0.083,-0.524,-0.873,1.022
2019-07-15 11:2:58.2550,-0.083,-0.524,-0.873,1.022
2019-07-15 11:2:58.2560,-0.083,-0.524,-0.873,1.022
2019-07-15 11:2:58.2570,-0.083,-0.524,-0.873,1.022
2019-07-15 11:2:58.2580,-0.083,-0.524,-0.873,1.022
2019-07-15 11:2:58.2590,-0.083,-0.524,-0.873,1.022
2019-07-15 11:2:58.2600,-0.083,-0.524,-0.873,1.022
2019-07-15 11:2:58.2620,-0.087,-0.435,-0.648,0.785
2019-07-15 11:2:58.2630,-0.087,-0.435,-0.648,0.785
2019-07-15 11:2:58.2640,-0.087,-0.435,-0.648,0.785
2019-07-15 11:2:58.2650,-0.087,-0.435,-0.648,0.785
2019-07-15 11:2:58.2660,-0.087,-0.435,-0.648,0.785
2019-07-15 11:2:58.2670,-0.087,-0.435,-0.648,0.785
2019-07-15 11:2:58.2700,-0.087,-0.435,-0.648,0.785
2019-07-15 11:2:58.2760,-0.237,-0.362,-0.665,0.793
2019-07-15 11:2:58.2770,-0.237,-0.362,-0.665,0.793
2019-07-15 11:2:58.2790,-0.237,-0.362,-0.665,0.793
2019-07-15 11:2:58.2800,-0.237,-0.362,-0.665,0.793
2019-07-15 11:2:58.2870,-0.276,-0.326,-0.609,0.744
2019-07-15 11:3:46.3060,-0.482,-0.455,-0.366,0.757
2019-07-15 11:3:46.3150,-0.482,-0.455,-0.366,0.757
2019-07-15 11:3:46.3170,-0.482,-0.455,-0.366,0.757
2019-07-15 11:3:46.4040,-0.127,-0.692,0.022,0.704
2019-07-15 11:3:46.4060,-0.127,-0.692,0.022,0.704
2019-07-15 11:3:46.4140,-0.127,-0.692,0.022,0.704
2019-07-15 11:3:46.4160,-0.127,-0.692,0.022,0.704
2019-07-15 11:3:46.4220,-0.127,-0.692,0.022,0.704
2019-07-15 11:3:46.4230,-0.127,-0.692,0.022,0.704
2019-07-15 11:3:46.4250,-0.127,-0.692,0.022,0.704
2019-07-15 11:3:46.4260,-0.127,-0.692,0.022,0.704
2019-07-15 11:3:46.4780,0.116,-0.372,-0.962,1.038
2019-07-15 11:3:46.4800,0.116,-0.372,-0.962,1.038
2019-07-15 11:3:46.4840,0.116,-0.372,-0.962,1.038
2019-07-15 11:3:46.4860,0.116,-0.372,-0.962,1.038
2019-07-15 11:3:46.5020,0.109,-0.376,-0.952,1.029
2019-07-15 11:3:46.5060,0.109,-0.376,-0.952,1.029
2019-07-15 11:3:46.5090,0.109,-0.376,-0.952,1.029
2019-07-15 11:3:46.5120,0.109,-0.376,-0.952,1.029
2019-07-15 11:3:46.5240,0.109,-0.376,-0.952,1.029
2019-07-15 11:3:46.5250,0.109,-0.376,-0.952,1.029
2019-07-15 11:3:46.5260,0.109,-0.376,-0.952,1.029
2019-07-15 11:3:46.5270,0.109,-0.376,-0.952,1.029
2019-07-15 11:3:46.5290,0.109,-0.376,-0.952,1.029
2019-07-15 11:3:46.5370,0.109,-0.376,-0.952,1.029
2019-07-15 11:3:46.5380,0.109,-0.376,-0.952,1.029
2019-07-15 11:3:46.5400,0.109,-0.376,-0.952,1.029
2019-07-15 11:3:46.5410,0.109,-0.376,-0.952,1.029
2019-07-15 11:3:46.5430,0.109,-0.376,-0.952,1.029
2019-07-15 11:3:46.5450,0.109,-0.376,-0.952,1.029
2019-07-15 11:3:46.5460,0.109,-0.376,-0.952,1.029
2019-07-15 11:3:46.5490,0.109,-0.376,-0.952,1.029
2019-07-15 11:3:46.5530,0.109,-0.376,-0.952,1.029
2019-07-15 11:3:46.5560,0.109,-0.376,-0.952,1.029
2019-07-15 11:3:46.5580,0.109,-0.376,-0.952,1.029
2019-07-15 11:3:46.5600,0.109,-0.376,-0.952,1.029
2019-07-15 11:3:46.5620,0.109,-0.376,-0.952,1.029
2019-07-15 11:3:46.5640,0.109,-0.376,-0.952,1.029
2019-07-15 11:3:46.5730,0.109,-0.376,-0.952,1.029
2019-07-15 11:3:46.5750,0.109,-0.376,-0.952,1.029
2019-07-15 11:3:46.5760,0.109,-0.376,-0.952,1.029
2019-07-15 11:3:46.5770,0.109,-0.376,-0.952,1.029
2019-07-15 11:3:46.5800,0.107,-0.387,-1.029,1.105
2019-07-15 11:3:46.5840,0.107,-0.387,-1.029,1.105
2019-07-15 11:3:46.5870,0.107,-0.387,-1.029,1.105
2019-07-15 11:3:46.5890,0.103,-0.38,-1.05,1.121
2019-07-15 11:3:46.5920,0.103,-0.38,-1.05,1.121
2019-07-15 11:3:46.5940,0.094,-0.373,-1.067,1.134
2019-07-15 11:3:46.5970,0.094,-0.373,-1.067,1.134
2019-07-15 11:3:46.5990,0.094,-0.373,-1.067,1.134
2019-07-15 11:3:46.6000,0.094,-0.373,-1.067,1.134
2019-07-15 11:3:46.6010,0.094,-0.373,-1.067,1.134
2019-07-15 11:3:46.6040,0.088,-0.371,-1.087,1.152
2019-07-15 11:3:46.6050,0.088,-0.371,-1.087,1.152
2019-07-15 11:3:46.6070,0.088,-0.371,-1.087,1.152
2019-07-15 11:3:46.6080,0.088,-0.371,-1.087,1.152
2019-07-15 11:3:46.6090,0.088,-0.371,-1.087,1.152
2019-07-15 11:3:46.6100,0.088,-0.371,-1.087,1.152
2019-07-15 11:3:46.6110,0.088,-0.371,-1.087,1.152
2019-07-15 11:3:46.6120,0.088,-0.371,-1.087,1.152
2019-07-15 11:3:46.6160,0.083,-0.37,-1.105,1.168
2019-07-15 11:3:46.6170,0.083,-0.37,-1.105,1.168
2019-07-15 11:3:46.6180,0.083,-0.37,-1.105,1.168
2019-07-15 11:3:46.6200,0.083,-0.37,-1.105,1.168
2019-07-15 11:3:46.6210,0.083,-0.37,-1.105,1.168
2019-07-15 11:3:46.6230,0.07,-0.368,-1.113,1.174
2019-07-15 11:3:46.6250,0.07,-0.368,-1.113,1.174
2019-07-15 11:3:46.6260,0.07,-0.368,-1.113,1.174
2019-07-15 11:3:46.6270,0.07,-0.368,-1.113,1.174
2019-07-15 11:3:46.6280,0.07,-0.368,-1.113,1.174
2019-07-15 11:3:46.6300,0.07,-0.368,-1.113,1.174
2019-07-15 11:3:46.6320,0.07,-0.368,-1.113,1.174
2019-07-15 11:3:46.6340,0.055,-0.36,-1.111,1.169
2019-07-15 11:3:46.6360,0.055,-0.36,-1.111,1.169
2019-07-15 11:3:46.6380,0.055,-0.36,-1.111,1.169
2019-07-15 11:3:46.6390,0.055,-0.36,-1.111,1.169
2019-07-15 11:3:46.6400,0.055,-0.36,-1.111,1.169
2019-07-15 11:3:46.6410,0.055,-0.36,-1.111,1.169
2019-07-15 11:3:46.6420,0.043,-0.364,-1.106,1.165
2019-07-15 11:3:46.6440,0.043,-0.364,-1.106,1.165
2019-07-15 11:3:46.6460,0.043,-0.364,-1.106,1.165
2019-07-15 11:3:46.6480,0.043,-0.364,-1.106,1.165
2019-07-15 11:3:46.6490,0.043,-0.364,-1.106,1.165
2019-07-15 11:3:46.6500,0.043,-0.364,-1.106,1.165
2019-07-15 11:3:46.6520,0.043,-0.364,-1.106,1.165
2019-07-15 11:3:46.6540,0.047,-0.373,-1.097,1.16
2019-07-15 11:3:46.6600,0.047,-0.373,-1.097,1.16
2019-07-15 11:3:46.6650,0.042,-0.383,-1.077,1.144
2019-07-15 11:3:46.6710,0.042,-0.383,-1.077,1.144
2019-07-15 11:3:46.6720,0.042,-0.383,-1.077,1.144
2019-07-15 11:3:46.6730,0.042,-0.383,-1.077,1.144
2019-07-15 11:3:46.6770,0.006,-0.38,-1.066,1.132
2019-07-15 11:3:46.6810,0.006,-0.38,-1.066,1.132
2019-07-15 11:3:46.6830,-0.025,-0.372,-1.067,1.13
2019-07-15 11:3:46.6850,-0.025,-0.372,-1.067,1.13
2019-07-15 11:3:46.6860,-0.025,-0.372,-1.067,1.13
2019-07-15 11:3:46.6870,-0.025,-0.372,-1.067,1.13
2019-07-15 11:3:46.6890,-0.025,-0.372,-1.067,1.13
2019-07-15 11:3:46.6900,-0.025,-0.372,-1.067,1.13
2019-07-15 11:3:46.6910,-0.025,-0.372,-1.067,1.13
2019-07-15 11:3:46.6920,-0.025,-0.372,-1.067,1.13
2019-07-15 11:3:46.6930,-0.025,-0.372,-1.067,1.142
2019-07-15 11:3:46.6970,-0.04,-0.371,-1.079,1.142
2019-07-15 11:3:46.6990,-0.04,-0.371,-1.079,1.142
2019-07-15 11:3:46.7000,-0.04,-0.371,-1.079,1.142
2019-07-15 11:3:46.7010,-0.04,-0.371,-1.079,1.15
2019-07-15 11:3:46.7040,-0.056,-0.366,-1.089,1.15
2019-07-15 11:3:46.7050,-0.056,-0.366,-1.089,1.15
2019-07-15 11:3:46.7060,-0.056,-0.366,-1.089,1.15
2019-07-15 11:3:46.7070,-0.056,-0.366,-1.089,1.15
2019-07-15 11:3:46.7080,-0.056,-0.366,-1.089,1.15
2019-07-15 11:3:46.7090,-0.056,-0.366,-1.089,1.15
2019-07-15 11:3:46.7100,-0.056,-0.366,-1.089,1.15
2019-07-15 11:3:46.7140,-0.089,-0.356,-1.084,1.144
2019-07-15 11:3:46.7150,-0.089,-0.356,-1.084,1.144
2019-07-15 11:3:46.7170,-0.089,-0.356,-1.084,1.144
2019-07-15 11:3:46.7180,-0.089,-0.356,-1.084,1.144
2019-07-15 11:3:46.7190,-0.089,-0.356,-1.084,1.144
2019-07-15 11:3:46.7200,-0.089,-0.356,-1.084,1.144
2019-07-15 11:3:46.7210,-0.089,-0.356,-1.084,1.144
2019-07-15 11:3:46.7230,-0.124,-0.338,-1.087,1.145
2019-07-15 11:3:46.7240,-0.124,-0.338,-1.087,1.145
2019-07-15 11:3:46.7250,-0.124,-0.338,-1.087,1.145
2019-07-15 11:3:46.7260,-0.124,-0.338,-1.087,1.145
2019-07-15 11:3:46.7270,-0.124,-0.338,-1.087,1.145
2019-07-15 11:3:46.7290,-0.124,-0.338,-1.087,1.145
2019-07-15 11:3:46.7300,-0.124,-0.338,-1.087,1.145
2019-07-15 11:3:46.7310,-0.124,-0.338,-1.087,1.145
2019-07-15 11:3:46.7330,-0.144,-0.323,-1.088,1.144
2019-07-15 11:3:46.7350,-0.144,-0.323,-1.088,1.144
2019-07-15 11:3:46.7360,-0.144,-0.323,-1.088,1.144
2019-07-15 11:3:46.7370,-0.144,-0.323,-1.088,1.144
2019-07-15 11:3:46.7380,-0.144,-0.323,-1.088,1.144
2019-07-15 11:3:46.7390,-0.144,-0.323,-1.088,1.144
2019-07-15 11:3:46.7400,-0.144,-0.323,-1.088,1.144
2019-07-15 11:3:46.7420,-0.146,-0.312,-1.084,1.137
