time,gFx,gFy,gFz,gFTotal
2019-07-15 11:0:52.2310,-0.095,-0.156,-0.982,0.999
2019-07-15 11:0:52.2360,-0.063,-0.12,-0.936,0.946
2019-07-15 11:0:52.2370,-0.063,-0.12,-0.936,0.946
2019-07-15 11:0:52.2380,-0.063,-0.12,-0.936,0.946
2019-07-15 11:0:52.2660,-0.092,-0.11,-0.884,0.896
2019-07-15 11:0:52.2670,-0.092,-0.11,-0.884,0.896
2019-07-15 11:0:52.2740,-0.092,-0.11,-0.884,0.896
2019-07-15 11:0:52.2820,-0.098,-0.154,-0.977,0.994
2019-07-15 11:0:52.2920,-0.135,-0.21,-0.993,1.024
2019-07-15 11:0:52.2950,-0.17,-0.249,-1.009,1.053
2019-07-15 11:0:52.3060,-0.208,-0.279,-0.956,1.017
2019-07-15 11:0:52.3400,-0.196,-0.271,-0.786,0.854
2019-07-15 11:0:52.3470,-0.224,-0.221,-0.75,0.813
2019-07-15 11:0:52.3470,-0.224,-0.221,-0.75,0.813
2019-07-15 11:0:52.3510,-0.224,-0.221,-0.75,0.813
2019-07-15 11:0:52.3550,-0.302,-0.178,-0.618,0.711
2019-07-15 11:0:52.3690,-0.14,-0.165,-0.628,0.664
2019-07-15 11:0:52.3780,0.004,-0.182,-0.777,0.798
2019-07-15 11:0:52.3850,0.147,-0.253,-0.92,0.965
2019-07-15 11:0:52.3950,0.372,-0.262,-1.488,1.556
2019-07-15 11:0:52.4050,0.174,-0.357,-1.024,1.098
2019-07-15 11:0:52.4390,-0.143,-0.424,-0.96,1.059
2019-07-15 11:0:52.4460,-0.092,-0.385,-0.836,0.925
2019-07-15 11:0:52.4460,-0.092,-0.385,-0.836,0.925
2019-07-15 11:0:52.4500,-0.092,-0.385,-0.836,0.925
2019-07-15 11:0:52.4550,0.0,-0.332,-0.852,0.914
2019-07-15 11:0:52.4680,0.162,-0.293,-0.92,0.979
2019-07-15 11:0:52.4770,0.506,-0.388,-0.899,1.102
2019-07-15 11:0:52.4840,0.188,-0.248,-1.108,1.151
2019-07-15 11:0:52.4930,-0.006,-0.141,-1.168,1.176
2019-07-15 11:0:52.5040,0.019,-0.275,-1.105,1.139
2019-07-15 11:0:52.5380,-0.039,-0.366,-1.072,1.133
2019-07-15 11:0:52.5430,-0.018,-0.351,-1.005,1.065
2019-07-15 11:0:52.5440,-0.018,-0.351,-1.005,1.065
2019-07-15 11:0:52.5470,-0.018,-0.351,-1.005,1.065
2019-07-15 11:0:52.5530,-0.014,-0.306,-0.986,1.032
2019-07-15 11:0:52.5670,0.016,-0.309,-1.011,1.057
2019-07-15 11:0:52.5760,0.057,-0.281,-1.045,1.084
2019-07-15 11:0:52.5850,0.05,-0.287,-1.034,1.074
2019-07-15 11:0:52.5930,0.056,-0.319,-0.969,1.022
2019-07-15 11:0:52.6030,0.067,-0.31,-0.933,0.985
2019-07-15 11:0:52.6360,0.2,-0.294,-0.903,0.97
2019-07-15 11:0:52.6430,0.201,-0.318,-0.85,0.93
2019-07-15 11:0:52.6440,0.201,-0.318,-0.85,0.93
2019-07-15 11:0:52.6470,0.201,-0.318,-0.85,0.93
2019-07-15 11:0:52.6520,0.228,-0.372,-0.942,1.038
2019-07-15 11:0:52.6660,0.096,-0.265,-0.928,0.97
2019-07-15 11:0:52.6740,0.089,-0.353,-0.947,1.015
2019-07-15 11:0:52.6820,0.097,-0.358,-0.987,1.054
2019-07-15 11:0:52.6920,0.091,-0.345,-0.981,1.044
2019-07-15 11:0:52.7020,0.076,-0.371,-0.995,1.065
2019-07-15 11:0:52.7350,-0.008,-0.409,-1.095,1.169
2019-07-15 11:0:52.7420,-0.016,-0.378,-1.091,1.155
2019-07-15 11:0:52.7420,-0.016,-0.378,-1.091,1.155
2019-07-15 11:0:52.7460,-0.016,-0.378,-1.091,1.155
2019-07-15 11:0:52.7510,0.022,-0.355,-1.069,1.127
2019-07-15 11:0:52.7650,0.075,-0.284,-1.062,1.102
2019-07-15 11:0:52.7780,0.039,-0.382,-1.035,1.104
2019-07-15 11:0:52.7810,0.034,-0.367,-1.048,1.111
2019-07-15 11:0:52.7910,0.013,-0.358,-1.001,1.063
2019-07-15 11:0:52.8010,0.014,-0.409,-0.967,1.05
2019-07-15 11:0:52.8340,-0.04,-0.37,-0.864,0.941
2019-07-15 11:0:52.8420,-0.051,-0.406,-0.839,0.933
2019-07-15 11:0:52.8420,-0.051,-0.406,-0.839,0.933
2019-07-15 11:0:52.8450,-0.051,-0.406,-0.839,0.933
2019-07-15 11:0:52.8500,-0.024,-0.369,-0.83,0.909
2019-07-15 11:0:52.8650,0.005,-0.395,-0.856,0.943
2019-07-15 11:0:52.8760,0.071,-0.405,-0.82,0.917
2019-07-15 11:0:52.8800,0.107,-0.391,-0.854,0.945
2019-07-15 11:0:52.8900,0.093,-0.354,-0.898,0.97
2019-07-15 11:0:52.9000,0.065,-0.374,-0.882,0.96
2019-07-15 11:0:52.9330,0.165,-0.539,-0.898,1.06
2019-07-15 11:0:52.9390,-0.063,-0.218,-0.906,0.934
2019-07-15 11:0:52.9400,-0.063,-0.218,-0.906,0.934
2019-07-15 11:0:52.9440,-0.063,-0.218,-0.906,0.934
2019-07-15 11:0:52.9500,-0.051,-0.349,-0.884,0.952
2019-07-15 11:0:52.9640,0.051,-0.58,-0.848,1.029
2019-07-15 11:0:52.9750,-0.098,-0.363,-0.854,0.933
2019-07-15 11:0:52.9900,-0.159,-0.414,-0.774,0.892
2019-07-15 11:0:52.9910,-0.159,-0.414,-0.774,0.892
2019-07-15 11:0:53.0050,-0.071,-0.215,-0.782,0.814
2019-07-15 11:0:53.0350,-0.031,-0.092,-0.356,0.369
2019-07-15 11:0:53.0420,0.02,-0.063,-0.227,0.236
2019-07-15 11:0:53.0430,0.02,-0.063,-0.227,0.236
2019-07-15 11:0:53.0460,0.02,-0.063,-0.227,0.236
2019-07-15 11:0:53.0490,-0.024,-0.01,-0.333,0.334
2019-07-15 11:0:53.0630,-0.033,-0.08,-0.757,0.762
2019-07-15 11:0:53.0710,-0.063,-0.004,-0.928,0.93
2019-07-15 11:0:53.0790,-0.193,0.049,-0.955,0.976
2019-07-15 11:0:53.0890,-0.248,0.053,-0.787,0.827
2019-07-15 11:0:53.0990,-0.267,-0.014,-0.722,0.77
2019-07-15 11:0:53.1320,-0.367,-0.267,-1.109,1.198
2019-07-15 11:0:53.1380,-0.5,-0.569,-1.344,1.543
2019-07-15 11:0:53.1390,-0.5,-0.569,-1.344,1.543
2019-07-15 11:0:53.1430,-0.5,-0.569,-1.344,1.543
2019-07-15 11:0:53.1480,-0.325,-0.558,-0.963,1.159
2019-07-15 11:0:53.1630,-0.057,-0.477,-0.622,0.786
2019-07-15 11:0:53.1760,-0.027,-0.552,-0.729,0.915
2019-07-15 11:0:58.5220,0.456,-1.006,0.375,0.971
2019-07-15 11:0:58.5280,0.094,-0.856,0.162,0.876
2019-07-15 11:0:58.5290,0.094,-0.856,0.162,0.876
2019-07-15 11:0:58.5300,0.094,-0.856,0.162,0.876
2019-07-15 11:0:58.5310,-0.109,-0.931,0.273,0.976
2019-07-15 11:0:58.5320,0.176,-0.951,0.146,0.978
2019-07-15 11:0:58.6240,0.091,-0.946,0.463,1.057
2019-07-15 11:0:58.6250,0.091,-0.946,0.463,1.057
2019-07-15 11:0:58.6260,0.091,-0.946,0.463,1.057
2019-07-15 11:0:58.6260,0.091,-0.946,0.463,1.057
2019-07-15 11:0:58.6280,0.091,-0.946,0.463,1.057
2019-07-15 11:0:58.6290,0.091,-0.946,0.463,1.057
2019-07-15 11:0:58.6300,0.091,-0.946,0.463,1.057
2019-07-15 11:0:58.6310,0.091,-0.946,0.463,1.057
2019-07-15 11:0:58.6320,0.05,-0.911,0.519,1.05
2019-07-15 11:0:58.6350,0.05,-0.911,0.519,1.05
2019-07-15 11:0:58.6360,0.05,-0.911,0.519,1.05
2019-07-15 11:0:58.6360,0.05,-0.911,0.519,1.05
2019-07-15 11:0:58.6370,0.05,-0.911,0.519,1.05
2019-07-15 11:0:58.6390,0.05,-0.911,0.519,1.05
2019-07-15 11:0:58.6400,0.05,-0.911,0.519,1.05
2019-07-15 11:0:58.6410,0.05,-0.911,0.519,1.05
2019-07-15 11:0:58.6410,0.05,-0.911,0.519,1.05
2019-07-15 11:0:58.6420,0.05,-0.911,0.519,1.05
2019-07-15 11:0:58.6430,0.05,-0.911,0.519,1.05
2019-07-15 11:0:58.6460,0.05,-0.911,0.519,1.05
2019-07-15 11:0:58.6470,0.05,-0.911,0.519,1.05
2019-07-15 11:0:58.6480,0.05,-0.911,0.519,1.05
2019-07-15 11:0:58.6490,0.05,-0.911,0.519,1.05
2019-07-15 11:0:58.6500,0.05,-0.911,0.519,1.05
