time,gFx,gFy,gFz,gFTotal
2019-07-15 17:4:26.2990,-0.039,-0.132,-0.913,0.923
2019-07-15 17:4:26.3010,-0.016,-0.078,-0.852,0.856
2019-07-15 17:4:26.3030,-0.016,-0.078,-0.852,0.856
2019-07-15 17:4:26.3080,-0.016,-0.078,-0.852,0.856
2019-07-15 17:4:26.3140,0.005,-0.064,-0.852,0.854
2019-07-15 17:4:26.3190,0.005,-0.064,-0.852,0.854
2019-07-15 17:4:26.3280,0.013,-0.078,-0.92,0.923
2019-07-15 17:4:26.3360,-0.015,-0.12,-1.027,1.034
2019-07-15 17:4:26.3460,-0.059,-0.188,-1.052,1.07
2019-07-15 17:4:26.3540,-0.127,-0.226,-0.99,1.023
2019-07-15 17:4:26.3640,-0.182,-0.206,-0.95,0.989
2019-07-15 17:4:26.3760,-0.228,-0.162,-0.862,0.906
2019-07-15 17:4:26.3940,-0.16,-0.149,-0.735,0.767
2019-07-15 17:4:26.3990,-0.16,-0.149,-0.735,0.767
2019-07-15 17:4:26.4090,-0.274,-0.209,-0.689,0.77
2019-07-15 17:4:26.4170,-0.157,-0.186,-0.637,0.682
2019-07-15 17:4:26.4270,-0.019,-0.146,-0.838,0.851
2019-07-15 17:4:26.4350,0.269,-0.111,-1.575,1.602
2019-07-15 17:4:26.4440,-0.119,-0.172,-0.534,0.573
2019-07-15 17:4:26.4530,-0.224,-0.219,-0.44,0.54
2019-07-15 17:4:26.4660,-0.002,-0.343,-0.77,0.843
2019-07-15 17:4:26.4840,0.064,-0.453,-0.922,1.029
2019-07-15 17:4:26.4850,0.064,-0.453,-0.922,1.029
2019-07-15 17:4:26.4950,0.025,-0.446,-0.958,1.057
2019-07-15 17:4:26.5030,0.029,-0.444,-0.985,1.081
2019-07-15 17:4:26.5130,0.044,-0.394,-0.941,1.021
2019-07-15 17:4:26.5240,0.102,-0.337,-0.875,0.943
2019-07-15 17:4:26.5330,0.119,-0.294,-1.006,1.055
2019-07-15 17:4:26.5440,0.047,-0.28,-1.071,1.108
2019-07-15 17:4:26.5520,0.05,-0.31,-1.043,1.089
2019-07-15 17:4:26.5720,-0.051,-0.347,-1.033,1.091
2019-07-15 17:4:26.5740,-0.051,-0.347,-1.033,1.091
2019-07-15 17:4:26.5790,-0.063,-0.393,-1.029,1.103
2019-07-15 17:4:26.5960,-0.059,-0.399,-0.978,1.058
2019-07-15 17:4:26.6040,-0.058,-0.373,-0.955,1.027
2019-07-15 17:4:26.6130,-0.039,-0.352,-0.962,1.025
2019-07-15 17:4:26.6210,0.01,-0.339,-0.996,1.052
2019-07-15 17:4:26.6330,0.018,-0.332,-1.003,1.057
2019-07-15 17:4:26.6430,0.049,-0.3,-0.956,1.003
2019-07-15 17:4:26.6510,0.043,-0.281,-0.943,0.985
2019-07-15 17:4:26.6720,0.084,-0.311,-0.919,0.974
2019-07-15 17:4:26.6740,0.084,-0.311,-0.919,0.974
2019-07-15 17:4:26.6780,0.048,-0.326,-0.919,0.976
2019-07-15 17:4:26.6960,-0.063,-0.22,-0.835,0.866
2019-07-15 17:4:26.7040,0.006,-0.296,-0.881,0.929
2019-07-15 17:4:26.7140,0.16,-0.316,-0.946,1.01
2019-07-15 17:4:26.7220,0.15,-0.281,-1.021,1.07
2019-07-15 17:4:26.7300,0.027,-0.284,-1.032,1.071
2019-07-15 17:4:26.7430,0.049,-0.319,-1.098,1.144
2019-07-15 17:4:26.7520,0.056,-0.303,-1.067,1.111
2019-07-15 17:4:26.7720,0.081,-0.299,-1.044,1.089
2019-07-15 17:4:26.7740,0.081,-0.299,-1.044,1.089
2019-07-15 17:4:26.7770,0.079,-0.279,-1.039,1.079
2019-07-15 17:4:26.7920,0.06,-0.322,-1.025,1.076
2019-07-15 17:4:26.8010,0.059,-0.325,-1.01,1.063
2019-07-15 17:4:26.8110,0.019,-0.337,-0.96,1.018
2019-07-15 17:4:26.8190,-0.005,-0.375,-0.927,1.0
2019-07-15 17:4:26.8320,-0.017,-0.393,-0.931,1.011
2019-07-15 17:4:26.8470,-0.022,-0.404,-0.927,1.011
2019-07-15 17:4:26.8760,-0.043,-0.374,-0.912,0.987
2019-07-15 17:4:26.8780,-0.043,-0.374,-0.912,0.987
2019-07-15 17:4:26.8790,-0.043,-0.374,-0.912,0.987
2019-07-15 17:4:26.8830,-0.043,-0.374,-0.912,0.987
2019-07-15 17:4:26.8960,-0.044,-0.376,-0.893,0.97
2019-07-15 17:4:26.9060,-0.169,-0.141,-0.507,0.553
2019-07-15 17:4:26.9150,-0.169,-0.141,-0.507,0.553
2019-07-15 17:4:26.9230,-0.161,-0.3,-0.634,0.72
2019-07-15 17:4:26.9320,-0.118,-0.48,-0.793,0.934
2019-07-15 17:4:26.9440,-0.22,-0.564,-0.858,1.05
2019-07-15 17:4:26.9540,-0.472,-0.609,-1.03,1.286
2019-07-15 17:4:26.9640,-0.517,-0.564,-1.057,1.305
2019-07-15 17:4:26.9890,-0.067,-0.592,-0.974,1.142
2019-07-15 17:4:26.9910,-0.067,-0.592,-0.974,1.142
2019-07-15 17:4:26.9970,-0.22,-0.521,-0.818,0.994
2019-07-15 17:4:27.0030,-0.22,-0.521,-0.818,0.994
2019-07-15 17:4:27.0100,-0.292,-0.428,-0.792,0.946
2019-07-15 17:4:27.0200,-0.405,-0.387,-0.834,1.005
2019-07-15 17:4:27.0350,-0.538,-0.491,-0.643,0.972
2019-07-15 17:4:27.2630,-0.175,-1.159,0.058,1.174
2019-07-15 17:4:27.2650,-0.175,-1.159,0.058,1.174
2019-07-15 17:4:27.2670,-0.175,-1.159,0.058,1.174
2019-07-15 17:4:27.2680,-0.175,-1.159,0.058,1.174
2019-07-15 17:4:27.2700,-0.175,-1.159,0.058,1.174
2019-07-15 17:4:27.2710,-0.175,-1.159,0.058,1.174
2019-07-15 17:4:27.2730,-0.118,-1.114,0.155,1.131
2019-07-15 17:4:27.2750,-0.118,-1.114,0.155,1.131
2019-07-15 17:4:27.2760,-0.118,-1.114,0.155,1.131
2019-07-15 17:4:27.2780,-0.118,-1.114,0.155,1.131
2019-07-15 17:4:27.2790,-0.118,-1.114,0.155,1.131
2019-07-15 17:4:27.2810,-0.118,-1.114,0.155,1.131
2019-07-15 17:4:27.2830,-0.184,-1.0,0.14,1.026
2019-07-15 17:4:27.2850,-0.184,-1.0,0.14,1.026
2019-07-15 17:4:27.2870,-0.184,-1.0,0.14,1.026
2019-07-15 17:4:27.2880,-0.184,-1.0,0.14,1.026
2019-07-15 17:4:27.2900,-0.184,-1.0,0.14,1.026
2019-07-15 17:4:27.2920,-0.179,-0.944,0.111,0.967
