time,gFx,gFy,gFz,gFTotal
2019-07-15 17:7:20.9810,0.031,-0.103,-0.95,0.956
2019-07-15 17:7:20.9810,0.031,-0.103,-0.95,0.956
2019-07-15 17:7:20.9810,0.031,-0.103,-0.95,0.956
2019-07-15 17:7:20.9820,0.031,-0.103,-0.95,0.956
2019-07-15 17:7:20.9820,0.031,-0.103,-0.95,0.956
2019-07-15 17:7:20.9870,-0.034,-0.195,-1.009,1.028
2019-07-15 17:7:20.9940,-0.096,-0.265,-1.11,1.145
2019-07-15 17:7:21.0040,-0.206,-0.287,-1.068,1.125
2019-07-15 17:7:21.0140,-0.305,-0.228,-0.909,0.986
2019-07-15 17:7:21.0280,-0.28,-0.14,-0.816,0.874
2019-07-15 17:7:21.0470,-0.173,-0.143,-0.779,0.811
2019-07-15 17:7:21.0470,-0.173,-0.143,-0.779,0.811
2019-07-15 17:7:21.0540,-0.088,-0.18,-0.75,0.776
2019-07-15 17:7:21.0630,-0.049,-0.191,-0.657,0.686
2019-07-15 17:7:21.0740,-0.037,-0.237,-0.635,0.679
2019-07-15 17:7:21.0830,0.085,-0.282,-0.78,0.834
2019-07-15 17:7:21.0940,0.137,-0.335,-0.898,0.968
2019-07-15 17:7:21.1030,0.005,-0.381,-0.796,0.882
2019-07-15 17:7:21.1130,-0.017,-0.369,-0.843,0.92
2019-07-15 17:7:21.1280,0.011,-0.33,-0.959,1.014
2019-07-15 17:7:21.1470,-0.127,-0.367,-0.875,0.957
2019-07-15 17:7:21.1470,-0.127,-0.367,-0.875,0.957
2019-07-15 17:7:21.1530,0.333,-0.57,-0.643,0.922
2019-07-15 17:7:21.1630,0.225,-0.451,-1.038,1.154
2019-07-15 17:7:21.1730,-0.085,-0.299,-0.921,0.972
2019-07-15 17:7:21.1820,-0.044,-0.281,-1.037,1.075
2019-07-15 17:7:21.1930,-0.029,-0.317,-0.958,1.01
2019-07-15 17:7:21.2020,-0.051,-0.29,-0.92,0.966
2019-07-15 17:7:21.2120,-0.063,-0.292,-0.95,0.996
2019-07-15 17:7:21.2270,-0.046,-0.254,-0.909,0.945
2019-07-15 17:7:21.2440,0.086,-0.324,-1.104,1.154
2019-07-15 17:7:21.2440,0.086,-0.324,-1.104,1.154
2019-07-15 17:7:21.2520,0.045,-0.371,-1.003,1.07
2019-07-15 17:7:21.2620,-0.069,-0.261,-0.926,0.965
2019-07-15 17:7:21.2720,-0.117,-0.247,-0.869,0.911
2019-07-15 17:7:21.2820,-0.113,-0.453,-0.907,1.02
2019-07-15 17:7:21.2920,-0.063,-0.352,-0.968,1.032
2019-07-15 17:7:21.3010,0.016,-0.354,-1.012,1.072
2019-07-15 17:7:21.3110,0.073,-0.433,-1.051,1.139
2019-07-15 17:7:21.3270,0.094,-0.346,-0.977,1.041
2019-07-15 17:7:21.3460,0.165,-0.338,-0.998,1.067
2019-07-15 17:7:21.3460,0.165,-0.338,-0.998,1.067
2019-07-15 17:7:21.3510,0.127,-0.368,-0.943,1.02
2019-07-15 17:7:21.3610,0.073,-0.381,-0.983,1.057
2019-07-15 17:7:21.3710,0.012,-0.361,-0.997,1.06
2019-07-15 17:7:21.3810,0.008,-0.381,-0.986,1.057
2019-07-15 17:7:21.3910,0.051,-0.348,-1.015,1.074
2019-07-15 17:7:21.4010,0.054,-0.372,-0.969,1.039
2019-07-15 17:7:21.4100,0.088,-0.35,-0.967,1.032
2019-07-15 17:7:21.4260,0.116,-0.311,-0.974,1.029
2019-07-15 17:7:21.4450,0.112,-0.312,-0.972,1.027
2019-07-15 17:7:21.4450,0.112,-0.312,-0.972,1.027
2019-07-15 17:7:21.4500,0.077,-0.366,-0.917,0.99
2019-07-15 17:7:21.4600,0.053,-0.379,-0.928,1.004
2019-07-15 17:7:21.4700,0.047,-0.362,-0.977,1.043
2019-07-15 17:7:21.4800,0.034,-0.377,-0.975,1.046
2019-07-15 17:7:21.4900,0.021,-0.397,-0.969,1.047
2019-07-15 17:7:21.5000,0.08,-0.467,-0.911,1.027
2019-07-15 17:7:21.5100,0.084,-0.467,-0.963,1.074
2019-07-15 17:7:21.5250,0.058,-0.429,-0.929,1.025
2019-07-15 17:7:21.5440,0.055,-0.393,-0.989,1.066
2019-07-15 17:7:21.5440,0.055,-0.393,-0.989,1.066
2019-07-15 17:7:21.5490,0.064,-0.334,-0.96,1.018
2019-07-15 17:7:21.5600,0.043,-0.341,-1.007,1.064
2019-07-15 17:7:21.5690,-0.0,-0.38,-0.964,1.036
2019-07-15 17:7:21.5790,0.001,-0.379,-0.929,1.003
2019-07-15 17:7:21.5890,-0.012,-0.41,-0.919,1.006
2019-07-15 17:7:21.5990,0.026,-0.406,-0.88,0.969
2019-07-15 17:7:21.6090,0.106,-0.445,-0.903,1.012
2019-07-15 17:7:21.6230,0.093,-0.367,-0.971,1.042
2019-07-15 17:7:21.6420,0.034,-0.371,-0.908,0.981
2019-07-15 17:7:21.6430,0.034,-0.371,-0.908,0.981
2019-07-15 17:7:21.6480,0.02,-0.358,-0.893,0.962
2019-07-15 17:7:21.6600,0.032,-0.389,-0.89,0.972
2019-07-15 17:7:21.6680,0.023,-0.404,-0.916,1.001
2019-07-15 17:7:21.6780,0.016,-0.404,-0.939,1.022
2019-07-15 17:7:21.6880,0.036,-0.4,-0.926,1.009
2019-07-15 17:7:21.6980,0.032,-0.398,-0.928,1.01
2019-07-15 17:7:21.7080,0.002,-0.404,-0.914,0.999
2019-07-15 17:7:21.7220,-0.01,-0.406,-0.897,0.985
2019-07-15 17:7:21.7400,-0.002,-0.427,-0.87,0.969
2019-07-15 17:7:21.7400,-0.002,-0.427,-0.87,0.969
2019-07-15 17:7:21.7540,0.02,-0.38,-0.888,0.966
2019-07-15 17:7:21.7650,0.007,-0.366,-0.88,0.953
2019-07-15 17:7:21.7680,0.003,-0.382,-0.926,1.002
2019-07-15 17:7:21.7790,-0.025,-0.426,-0.952,1.043
2019-07-15 17:7:21.7870,0.046,-0.448,-0.941,1.043
2019-07-15 17:7:21.7970,0.011,-0.389,-0.88,0.962
2019-07-15 17:7:21.8070,-0.064,-0.26,-0.628,0.683
2019-07-15 17:7:21.8220,-0.043,-0.282,-0.655,0.714
2019-07-15 17:7:21.8410,0.089,-0.426,-0.863,0.967
2019-07-15 17:7:21.8410,0.089,-0.426,-0.863,0.967
2019-07-15 17:7:21.8470,-0.024,-0.349,-1.008,1.067
2019-07-15 17:7:21.8570,-0.174,-0.352,-1.016,1.089
2019-07-15 17:7:21.8670,-0.241,-0.254,-0.755,0.832
2019-07-15 17:7:21.8780,-0.247,-0.419,-0.783,0.922
2019-07-15 17:7:21.8860,-0.181,-0.703,-1.092,1.311
2019-07-15 17:7:21.8960,-0.174,-0.89,-1.113,1.436
2019-07-15 17:7:21.9060,-0.181,-0.915,-0.887,1.287
2019-07-15 17:7:21.9200,-0.116,-0.798,-0.763,1.11
2019-07-15 17:7:22.1040,-0.533,-1.025,0.353,1.208
2019-07-15 17:7:22.1050,-0.533,-1.025,0.353,1.208
2019-07-15 17:7:22.1060,-0.533,-1.025,0.353,1.208
2019-07-15 17:7:22.1060,-0.533,-1.025,0.353,1.208
2019-07-15 17:7:22.1070,-0.533,-1.025,0.353,1.208
2019-07-15 17:7:22.1070,-0.533,-1.025,0.353,1.208
