59:30.9;-0.049;-0.905;-0.337;0.967
59:30.9;-0.049;-0.905;-0.337;0.967
59:30.9;-0.049;-0.905;-0.337;0.967
59:30.9;-0.049;-0.905;-0.337;0.967
59:30.9;-0.049;-0.905;-0.337;0.967
59:30.9;-0.051;-0.903;-0.349;0.969
59:30.9;-0.051;-0.903;-0.349;0.969
59:30.9;-0.051;-0.903;-0.349;0.969
59:30.9;-0.049;-0.907;-0.354;0.975
59:30.9;-0.049;-0.914;-0.36;0.984
59:31.0;-0.05;-0.914;-0.36;0.984
59:31.0;-0.05;-0.911;-0.356;0.979
59:31.0;-0.049;-0.903;-0.353;0.971
59:31.0;-0.049;-0.903;-0.353;0.971
59:31.0;-0.049;-0.903;-0.353;0.971
59:31.0;-0.049;-0.901;-0.356;0.97
59:31.0;-0.049;-0.901;-0.359;0.971
59:31.0;-0.049;-0.9;-0.359;0.97
59:31.0;-0.05;-0.907;-0.357;0.976
59:31.0;-0.051;-0.908;-0.356;0.977
59:31.1;-0.053;-0.909;-0.349;0.975
59:31.1;-0.051;-0.91;-0.344;0.974
59:31.1;-0.054;-0.9;-0.352;0.968
59:31.1;-0.054;-0.9;-0.352;0.968
59:31.1;-0.054;-0.9;-0.352;0.968
59:31.1;-0.053;-0.901;-0.351;0.968
59:31.1;-0.051;-0.904;-0.348;0.97
59:31.1;-0.05;-0.907;-0.345;0.972
59:31.1;-0.05;-0.908;-0.343;0.972
59:31.1;-0.05;-0.907;-0.342;0.971
59:31.1;-0.049;-0.907;-0.341;0.97
59:31.2;-0.051;-0.906;-0.333;0.967
59:31.2;-0.05;-0.919;-0.328;0.977
59:31.2;-0.05;-0.919;-0.328;0.977
59:31.2;-0.05;-0.919;-0.328;0.977
59:31.2;-0.05;-0.912;-0.331;0.971
59:31.2;-0.05;-0.909;-0.335;0.97
59:31.2;-0.05;-0.907;-0.339;0.97
59:31.2;-0.051;-0.906;-0.341;0.969
59:31.2;-0.053;-0.914;-0.342;0.977
59:31.3;-0.05;-0.92;-0.336;0.981
59:31.3;-0.05;-0.92;-0.336;0.981
59:31.3;-0.049;-0.901;-0.34;0.964
59:31.3;-0.049;-0.901;-0.34;0.964
59:31.3;-0.049;-0.901;-0.34;0.964
59:31.3;-0.05;-0.897;-0.343;0.962
59:31.3;-0.05;-0.902;-0.343;0.966
59:31.3;-0.05;-0.904;-0.342;0.968
59:31.3;-0.052;-0.91;-0.336;0.971
59:31.3;-0.052;-0.916;-0.333;0.976
59:31.3;-0.052;-0.92;-0.336;0.981
