time,gFx,gFy,gFz,gFTotal
2019-07-15 17:1:44.8610,0.043,-0.284,-0.927,0.97
2019-07-15 17:1:44.8660,0.043,-0.284,-0.927,0.97
2019-07-15 17:1:44.8680,0.043,-0.284,-0.927,0.97
2019-07-15 17:1:44.8780,0.026,-0.298,-0.916,0.964
2019-07-15 17:1:44.8850,-0.007,-0.328,-0.958,1.013
2019-07-15 17:1:44.8940,-0.059,-0.357,-0.964,1.03
2019-07-15 17:1:44.9170,-0.109,-0.392,-0.893,0.981
2019-07-15 17:1:44.9190,-0.109,-0.392,-0.893,0.981
2019-07-15 17:1:44.9280,-0.095,-0.409,-0.885,0.98
2019-07-15 17:1:44.9320,-0.073,-0.404,-0.874,0.966
2019-07-15 17:1:44.9400,-0.054,-0.384,-0.872,0.954
2019-07-15 17:1:44.9560,-0.04,-0.367,-0.912,0.984
2019-07-15 17:1:44.9650,-0.039,-0.343,-0.94,1.001
2019-07-15 17:1:44.9790,-0.078,-0.346,-0.963,1.026
2019-07-15 17:1:44.9880,-0.187,-0.345,-1.036,1.108
2019-07-15 17:1:45.0090,-0.116,-0.277,-1.043,1.085
2019-07-15 17:1:45.0130,-0.079,-0.338,-0.928,0.991
2019-07-15 17:1:45.0200,-0.064,-0.366,-0.802,0.884
2019-07-15 17:1:45.0250,-0.064,-0.366,-0.802,0.884
2019-07-15 17:1:45.0300,-0.077,-0.446,-0.784,0.905
2019-07-15 17:1:45.0410,-0.105,-0.487,-0.778,0.924
2019-07-15 17:1:45.0550,-0.14,-0.456,-0.697,0.845
2019-07-15 17:1:45.0650,-0.08,-0.368,-0.759,0.847
2019-07-15 17:1:45.0750,0.082,-0.222,-1.073,1.099
2019-07-15 17:1:45.0830,-0.005,-0.287,-0.668,0.727
2019-07-15 17:1:45.1070,-0.106,-0.483,-0.731,0.883
2019-07-15 17:1:45.1080,-0.106,-0.483,-0.731,0.883
2019-07-15 17:1:45.1160,-0.085,-0.461,-0.819,0.944
2019-07-15 17:1:45.1220,-0.052,-0.4,-0.812,0.907
2019-07-15 17:1:45.1300,-0.012,-0.388,-0.802,0.891
2019-07-15 17:1:45.1400,0.046,-0.448,-0.835,0.949
2019-07-15 17:1:45.1540,0.079,-0.528,-0.884,1.033
2019-07-15 17:1:45.1630,0.082,-0.573,-0.894,1.065
2019-07-15 17:1:45.1750,0.077,-0.587,-0.847,1.033
2019-07-15 17:1:45.1830,0.065,-0.603,-0.802,1.006
2019-07-15 17:1:45.2040,-0.057,-0.497,-0.842,0.979
2019-07-15 17:1:45.2060,-0.057,-0.497,-0.842,0.979
2019-07-15 17:1:45.2150,-0.159,-0.462,-0.825,0.959
2019-07-15 17:1:45.2200,-0.171,-0.496,-0.866,1.013
2019-07-15 17:1:45.2290,-0.084,-0.536,-0.901,1.052
2019-07-15 17:1:45.2390,-0.024,-0.527,-0.937,1.075
2019-07-15 17:1:45.2530,-0.025,-0.502,-0.955,1.079
2019-07-15 17:1:45.2620,-0.022,-0.456,-0.984,1.085
2019-07-15 17:1:45.2750,-0.024,-0.419,-1.012,1.096
2019-07-15 17:1:45.2830,0.077,-0.401,-1.006,1.086
2019-07-15 17:1:45.3040,0.07,-0.45,-0.925,1.031
2019-07-15 17:1:45.3050,0.07,-0.45,-0.925,1.031
2019-07-15 17:1:45.3140,0.131,-0.403,-0.937,1.028
2019-07-15 17:1:45.3180,0.097,-0.36,-0.977,1.046
2019-07-15 17:1:45.3280,0.043,-0.364,-0.995,1.06
2019-07-15 17:1:45.3380,0.073,-0.378,-0.948,1.023
2019-07-15 17:1:45.3520,0.104,-0.396,-0.922,1.009
2019-07-15 17:1:45.3600,0.104,-0.405,-0.926,1.016
2019-07-15 17:1:45.3730,0.102,-0.424,-0.905,1.005
2019-07-15 17:1:45.3940,0.04,-0.442,-0.919,1.021
2019-07-15 17:1:45.3990,0.027,-0.452,-0.913,1.019
2019-07-15 17:1:45.4030,0.027,-0.452,-0.913,1.019
2019-07-15 17:1:45.4110,-0.015,-0.363,-0.866,0.939
2019-07-15 17:1:45.4170,0.01,-0.403,-0.841,0.933
2019-07-15 17:1:45.4270,0.052,-0.456,-0.849,0.965
2019-07-15 17:1:45.4370,0.066,-0.455,-0.873,0.987
2019-07-15 17:1:45.4510,0.075,-0.342,-0.846,0.916
2019-07-15 17:1:45.4600,0.082,-0.304,-0.878,0.933
2019-07-15 17:1:45.4730,0.045,-0.389,-0.852,0.938
2019-07-15 17:1:45.4930,0.045,-0.398,-0.877,0.964
2019-07-15 17:1:45.4990,0.017,-0.438,-0.836,0.944
2019-07-15 17:1:45.5030,0.017,-0.438,-0.836,0.944
2019-07-15 17:1:45.5110,0.011,-0.473,-0.844,0.968
2019-07-15 17:1:45.5160,-0.05,-0.486,-0.922,1.043
2019-07-15 17:1:45.5270,-0.078,-0.427,-0.922,1.019
2019-07-15 17:1:45.5380,-0.067,-0.408,-0.907,0.997
2019-07-15 17:1:45.5500,-0.079,-0.446,-0.879,0.989
2019-07-15 17:1:45.5600,-0.045,-0.423,-0.886,0.983
2019-07-15 17:1:45.5720,-0.023,-0.431,-0.891,0.99
2019-07-15 17:1:45.5810,0.028,-0.443,-0.882,0.987
2019-07-15 17:1:45.6020,0.071,-0.424,-0.908,1.005
2019-07-15 17:1:45.6050,0.115,-0.409,-0.912,1.006
2019-07-15 17:1:45.6160,0.095,-0.391,-0.945,1.027
2019-07-15 17:1:45.6190,0.095,-0.391,-0.945,1.027
2019-07-15 17:1:45.6270,0.082,-0.397,-0.96,1.042
2019-07-15 17:1:45.6350,0.068,-0.385,-0.982,1.057
2019-07-15 17:1:45.6480,0.044,-0.384,-1.001,1.073
