Lunghezza Passo;0,2128
 T. Contatto;0,0875
 T. Volo;0,1475
 T. Totale;2,1500
 Ritmo;4,6512
 Velocita;0,4421
;
0008 - (1) - ACC.json;
Lunghezza Passo;-1,6700
 T. Contatto;0,1063
 T. Volo;0,1575
 T. Totale;2,4100
 Ritmo;4,1494
 Velocita;-6,6257
;
0008 - (2) - ACC.json;
Lunghezza Passo;-1,4437
 T. Contatto;0,0800
 T. Volo;0,1300
 T. Totale;2,2500
 Ritmo;4,4444
 Velocita;-5,6640
;
0008 - (3) - ACC.json;
Lunghezza Passo;-1,7991
 T. Contatto;0,1012
 T. Volo;0,1463
 T. Totale;2,1800
 Ritmo;4,5872
 Velocita;-6,3973
;
0008 - (4) - ACC.json;
Lunghezza Passo;-1,8161
 T. Contatto;0,0800
 T. Volo;0,1200
 T. Totale;2,1600
 Ritmo;4,6296
 Velocita;-7,7930
;
0008 - (5) - ACC.json;
Lunghezza Passo;-1,2908
 T. Contatto;0,0838
 T. Volo;0,1525
 T. Totale;2,0700
 Ritmo;4,8309
 Velocita;-5,9934
;
0009 - (1) - ACC.json;
Lunghezza Passo;-3,2918
 T. Contatto;0,0963
 T. Volo;0,1675
 T. Totale;2,3500
 Ritmo;4,2553
 Velocita;-11,9753
;
0009 - (2) - ACC.json;
Lunghezza Passo;-2,9947
 T. Contatto;0,1000
 T. Volo;0,1600
 T. Totale;2,3300
 Ritmo;4,2918
 Velocita;-10,0769
;
0009 - (3) - ACC.json;
Lunghezza Passo;-3,1434
 T. Contatto;0,0938
 T. Volo;0,1512
 T. Totale;2,2500
 Ritmo;4,4444
 Velocita;-9,9074
;
0009 - (4) - ACC.json;
Lunghezza Passo;-2,3933
 T. Contatto;0,1000
 T. Volo;0,1000
 T. Totale;2,1700
 Ritmo;4,6083
 Velocita;-9,7237
;
0009 - (5) - ACC.json;
Lunghezza Passo;-4,9012
 T. Contatto;0,0600
 T. Volo;0,1400
 T. Totale;2,1400
 Ritmo;4,6729
 Velocita;-12,7113
;
0010 - (1) - ACC.json;
Lunghezza Passo;-1,7907
 T. Contatto;0,0925
 T. Volo;0,1700
 T. Totale;2,3300
 Ritmo;4,2918
 Velocita;-6,4092
;
0010 - (2) - ACC.json;
Lunghezza Passo;-3,0762
 T. Contatto;0,0938
 T. Volo;0,1512
 T. Totale;2,2000
 Ritmo;4,5455
 Velocita;-8,6657
;
0010 - (3) - ACC.json;
Lunghezza Passo;-2,2466
 T. Contatto;0,0763
 T. Volo;0,1425
 T. Totale;1,9600
 Ritmo;5,1020
 Velocita;-7,0730
;
0010 - (4) - ACC.json;
Lunghezza Passo;-2,5248
 T. Contatto;0,0738
 T. Volo;0,1200
 T. Totale;1,7700
 Ritmo;5,6497
 Velocita;-6,7370
;
0010 - (5) - ACC.json;
Lunghezza Passo;-1,6377
 T. Contatto;0,0813
 T. Volo;0,1362
 T. Totale;1,9800
 Ritmo;5,0505
 Velocita;-5,9073
;
0011 - (1) - ACC.json;
Lunghezza Passo;-1,2903
 T. Contatto;0,0975
 T. Volo;0,1375
 T. Totale;2,1200
 Ritmo;4,7170
 Velocita;-4,9518
;
0011 - (2) - ACC.json;
Lunghezza Passo;-0,7851
 T. Contatto;0,0937
 T. Volo;0,1525
 T. Totale;2,2700
 Ritmo;4,4053
 Velocita;-3,2006
;
0011 - (3) - ACC.json;
Lunghezza Passo;-1,4375
 T. Contatto;0,0838
 T. Volo;0,1313
 T. Totale;2,2000
 Ritmo;4,5455
 Velocita;-6,0338
;
0012 - (1) - ACC.json;
Lunghezza Passo;-3,7388
 T. Contatto;0,0913
 T. Volo;0,1300
 T. Totale;2,0800
 Ritmo;4,8077
 Velocita;-11,8839
;
0012 - (2) - ACC.json;
Lunghezza Passo;-2,9079
 T. Contatto;0,0725
 T. Volo;0,1487
 T. Totale;1,9700
 Ritmo;5,0761
 Velocita;-10,4629
;
0012 - (3) - ACC.json;
Lunghezza Passo;-1,7357
 T. Contatto;0,0800
 T. Volo;0,1200
 T. Totale;2,1100
 Ritmo;4,7393
 Velocita;-8,0933
;
0013 - (1) - ACC.json;
Lunghezza Passo;-0,8435
 T. Contatto;0,0887
 T. Volo;0,1288
 T. Totale;1,9600
 Ritmo;5,1020
 Velocita;-4,3521
;
0013 - (2) - ACC.json;
Lunghezza Passo;-0,0706
 T. Contatto;0,1175
 T. Volo;0,0937
 T. Totale;1,9300
 Ritmo;5,1813
 Velocita;-0,6610
;
0013 - (3) - ACC.json;
Lunghezza Passo;-0,1270
 T. Contatto;0,0775
 T. Volo;0,1188
 T. Totale;1,8600
 Ritmo;5,3763
 Velocita;-0,9393
;
0014 - (1) - ACC.json;
Lunghezza Passo;0,1052
 T. Contatto;0,1038
 T. Volo;0,1350
 T. Totale;2,1800
 Ritmo;4,5872
 Velocita;0,3933
;
0014 - (2) - ACC.json;
Lunghezza Passo;-0,0781
 T. Contatto;0,0925
 T. Volo;0,1363
 T. Totale;2,1000
 Ritmo;4,7619
 Velocita;-0,2073
;
0014 - (3) - ACC.json;
Lunghezza Passo;0,4923
 T. Contatto;0,1000
 T. Volo;0,0800
 T. Totale;1,9800
 Ritmo;5,0505
 Velocita;2,1687
;
0015 - (1) - ACC.json;
Lunghezza Passo;-0,0840
 T. Contatto;0,0900
 T. Volo;0,1200
 T. Totale;2,2800
 Ritmo;4,3860
 Velocita;0,0589
;
0015 - (2) - ACC.json;
Lunghezza Passo;0,0111
 T. Contatto;0,0800
 T. Volo;0,1200
 T. Totale;2,1700
 Ritmo;4,6083
 Velocita;0,2632
;
0015 - (3) - ACC.json;
Lunghezza Passo;0,0661
 T. Contatto;0,1100
 T. Volo;0,1100
 T. Totale;2,3100
 Ritmo;4,3290
 Velocita;0,5233
;
0016 - (1) - ACC.json;
Lunghezza Passo;-2,7692
 T. Contatto;0,1137
 T. Volo;0,1250
 T. Totale;2,2100
 Ritmo;4,5249
 Velocita;-10,2236
;
0016 - (2) - ACC.json;
Lunghezza Passo;-2,5128
 T. Contatto;0,1400
 T. Volo;0,1088
 T. Totale;2,2400
 Ritmo;4,4643
 Velocita;-10,9219
;
0016 - (3) - ACC.json;
Lunghezza Passo;-1,9637
 T. Contatto;0,0900
 T. Volo;0,1388
 T. Totale;2,0600
 Ritmo;4,8544
 Velocita;-8,7366
;
0017 - (1) - ACC.json;
Lunghezza Passo;-0,4884
 T. Contatto;0,1187
 T. Volo;0,1288
 T. Totale;2,2000
 Ritmo;4,5454
 Velocita;-2,0746
;
0017 - (2) - ACC.json;
Lunghezza Passo;-0,4285
 T. Contatto;0,1025
 T. Volo;0,1313
 T. Totale;2,0600
 Ritmo;4,8544
 Velocita;-1,3767
;
0017 - (3) - ACC.json;
Lunghezza Passo;0,0451
 T. Contatto;0,1100
 T. Volo;0,1088
 T. Totale;2,0300
 Ritmo;4,9261
 Velocita;-0,3100
;
0018 - (1) - ACC.json;
Lunghezza Passo;-0,0293
 T. Contatto;0,1037
 T. Volo;0,1338
 T. Totale;2,0400
 Ritmo;4,9020
 Velocita;-0,4506
;
0018 - (2) - ACC.json;
Lunghezza Passo;0,7618
 T. Contatto;0,0850
 T. Volo;0,1450
 T. Totale;2,1200
 Ritmo;4,7170
 Velocita;2,7899
;
0018 - (3) - ACC.json;
Lunghezza Passo;0,9758
 T. Contatto;0,0788
 T. Volo;0,1587
 T. Totale;2,1900
 Ritmo;4,5662
 Velocita;4,1015
;
0019 - (1) - ACC.json;
